qid,query
1,easy healthy beef lettuce tomato bread
2,easy chicken rice
3,easy healthy flour sugar baking powder chocolate chips butter
4,easy flour sugar baking powder chocolate chips butter
5,easy beef tortillas beans tomato lettuce avocado
6,difficult flour sugar baking powder chocolate chips butter
7,difficult beef lettuce tomato bread
8,easy healthy rice
9,difficult chicken
10,difficult salmon potato onion
11,easy healthy apple banana orange
12,easy coffee milk sugar
13,easy rice ham carrot egg soy sauce peas
14,difficult chicken brown sugar orange juice vinegar cornstarch
15,difficult healthy beef potato
16,easy bread egg cinnamon sugar milk
17,easy peanut chocolate almond raisin
18,difficult apple pie crust sugar
19,easy healthy bread banana
20,difficult beef potato
21,easy healthy chicken broccoli rice
22,difficult chocolate egg sugar cream
23,easy pasta tomato basil cheese
24,difficult healthy salmon quinoa spinach
25,easy banana yogurt honey
26,easy healthy oats blueberry almod
27,difficulty curry chicken coconut rice
28,easy egg avocado bread
29,difficult healthy tofu
30,easy healthy strawberry
31,difficult beef pasta
32,easy flour milk egg butter
33,difficult healthy onion carrot celery
34,easy healthy lettuce tomato
35,difficult noodle pork egg
36,difficult healthy tofu pepper mushroom
37,difficult butter flour yeast
38,difficult shrimp rice
39,easy tomato basil
40,difficult parmesan wine mushroom